instanceLabel,item,itemLabel,entity_id,related_works_count
human,http://www.wikidata.org/entity/Q4106206,Tatyana Velikanova,Q4106206,0
human,http://www.wikidata.org/entity/Q601307,Athol Fugard,Q601307,22
human,http://www.wikidata.org/entity/Q7837812,Trefor Jenkins,Q7837812,0
human,http://www.wikidata.org/entity/Q6668825,Lola Hendricks,Q6668825,0
human,http://www.wikidata.org/entity/Q5486029,Frank Crichlow,Q5486029,0
human,http://www.wikidata.org/entity/Q5639876,Haji Faiz Mohammed,Q5639876,0
human,http://www.wikidata.org/entity/Q15439264,Muddathir Abdel-Rahim,Q15439264,0
human,http://www.wikidata.org/entity/Q2502692,Vera Chirwa,Q2502692,0
human,http://www.wikidata.org/entity/Q233843,Elizabeth Montgomery,Q233843,20
human,http://www.wikidata.org/entity/Q3018306,David Littman,Q3018306,0
human,http://www.wikidata.org/entity/Q546337,Ceija Stojka,Q546337,2
human,http://www.wikidata.org/entity/Q4803701,Asbjørn Eide,Q4803701,3
human,http://www.wikidata.org/entity/Q869844,Denis Goldberg,Q869844,0
human,http://www.wikidata.org/entity/Q19832431,Jim Letherer,Q19832431,0
human,http://www.wikidata.org/entity/Q51685655,Violeta Zúñiga,Q51685655,0
human,http://www.wikidata.org/entity/Q28450629,Doris Funnye Innis,Q28450629,0
human,http://www.wikidata.org/entity/Q123706,Jean Ziegler,Q123706,7
human,http://www.wikidata.org/entity/Q3063591,Fabien Eboussi Boulaga,Q3063591,0
human,http://www.wikidata.org/entity/Q6438934,Kronid Lyubarsky,Q6438934,0
human,http://www.wikidata.org/entity/Q724358,Willie O'Ree,Q724358,0
human,http://www.wikidata.org/entity/Q7336524,Rita Hauser,Q7336524,0
human,http://www.wikidata.org/entity/Q66685213,John Hunter Gray,Q66685213,0
human,http://www.wikidata.org/entity/Q4536741,Anatoly Yakobson,Q4536741,0
human,http://www.wikidata.org/entity/Q4803278,Asadollah Lajevardi,Q4803278,0
human,http://www.wikidata.org/entity/Q4859265,Barbara Rose Johns,Q4859265,0
human,http://www.wikidata.org/entity/Q4893356,Bernard Lee,Q4893356,0
human,http://www.wikidata.org/entity/Q5173976,Cosmas Desmond,Q5173976,0
human,http://www.wikidata.org/entity/Q27063107,Lydia Kompe,Q27063107,0
human,http://www.wikidata.org/entity/Q28648945,Maria Eugenia Bozzoli,Q28648945,0
human,http://www.wikidata.org/entity/Q28836844,Dick Leitsch,Q28836844,0
human,http://www.wikidata.org/entity/Q38846837,Allen Secher,Q38846837,1
human,http://www.wikidata.org/entity/Q50326320,Jezima Ismail,Q50326320,0
human,http://www.wikidata.org/entity/Q355648,Adem Demaçi,Q355648,0
human,http://www.wikidata.org/entity/Q374783,Sonia Picado Sotela,Q374783,0
human,http://www.wikidata.org/entity/Q239062,Winnie Madikizela-Mandela,Q239062,0
human,http://www.wikidata.org/entity/Q445635,Fang Lizhi,Q445635,1
human,http://www.wikidata.org/entity/Q2920702,Ali Salem,Q2920702,2
human,http://www.wikidata.org/entity/Q4977904,Bruce Lusignan,Q4977904,0
human,http://www.wikidata.org/entity/Q5236226,David L. Levy,Q5236226,1
human,http://www.wikidata.org/entity/Q13408837,Fatma Chamakh-Haddad,Q13408837,0
human,http://www.wikidata.org/entity/Q8055254,Yoram Dinstein,Q8055254,0
human,http://www.wikidata.org/entity/Q1980891,Jesús Blancornelas,Q1980891,0
human,http://www.wikidata.org/entity/Q28731794,Albert Turner,Q28731794,0
human,http://www.wikidata.org/entity/Q22003053,Hidaya Sultan al-Salem,Q22003053,0
human,http://www.wikidata.org/entity/Q29230,Martti Ahtisaari,Q29230,1
human,http://www.wikidata.org/entity/Q375208,Jiří Dienstbier,Q375208,0
human,http://www.wikidata.org/entity/Q230874,Anna Hazare,Q230874,0
human,http://www.wikidata.org/entity/Q3018156,Yuri Schmidt,Q3018156,0
human,http://www.wikidata.org/entity/Q700353,Harry Wu,Q700353,1
human,http://www.wikidata.org/entity/Q4802687,Aryeh Neier,Q4802687,0
human,http://www.wikidata.org/entity/Q7636278,Suliman al-Reshoudi,Q7636278,0
human,http://www.wikidata.org/entity/Q12959995,Srđa Popović,Q12959995,0
human,http://www.wikidata.org/entity/Q7693059,Ted Chabasinski,Q7693059,0
human,http://www.wikidata.org/entity/Q1362136,Martín Almada,Q1362136,0
human,http://www.wikidata.org/entity/Q5726818,Bernardo Kucinski,Q5726818,1
human,http://www.wikidata.org/entity/Q18158719,Perry Ray Robinson,Q18158719,0
human,http://www.wikidata.org/entity/Q50345057,Alia Hogben,Q50345057,0
human,http://www.wikidata.org/entity/Q56631127,Arifa Sayeda Zehra,Q56631127,0
human,http://www.wikidata.org/entity/Q22914762,Winifred Green,Q22914762,0
human,http://www.wikidata.org/entity/Q1254,Kofi Annan,Q1254,6
human,http://www.wikidata.org/entity/Q302910,Ngũgĩ wa Thiong'o,Q302910,50
human,http://www.wikidata.org/entity/Q313868,Fela Kuti,Q313868,33
